"PK_CORP","PK_PSNALCUST","PK_PSN","PK_CUSTCL","SEALFLAG"
26F79860-1A85-11E3-9860-D2A88FA7BD89","20131226-B021-201E-CE04-3ACA8006501E","20130726-A0D1-040A-49E6-3F373C6282CC","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
26F79860-1A85-11E3-9860-D2A88FA7BD89","20131227-0644-F02E-AE04-3ACA8006502E","20130726-6A16-24FD-CB90-08F328E6B3B2","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
26F79860-1A85-11E3-9860-D2A88FA7BD89","20140408-7785-6021-6E04-3ACA80065021","20130724-DB15-D433-28EA-BA157E6EDEAB","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
26F79860-1A85-11E3-9860-D2A88FA7BD89","20140411-F54D-900A-4E04-3ACA8006500A","20130726-A0D1-040A-49E6-3F373C6282CC","BEAC2760-1A86-11E3-A760-8A1F28EE552E","N"
26F79860-1A85-11E3-9860-D2A88FA7BD89","20140421-BCE4-700A-0E04-3ACA8006500A","20130726-030D-0458-8BF6-CBD8C728B9F5","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
26F79860-1A85-11E3-9860-D2A88FA7BD89","20140421-5B38-8009-EE04-3ACA80065009","20130726-A0D1-040A-49E6-3F373C6282CC","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
26F79860-1A85-11E3-9860-D2A88FA7BD89","20140612-ADB5-402A-2E04-3ACA8006502A","20130726-030D-0458-8BF6-CBD8C728B9F5","BEAC2760-1A86-11E3-A760-8A1F28EE552E","N"
26F79860-1A85-11E3-9860-D2A88FA7BD89","20140626-4565-E00C-0E04-3ACA8006500C","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
26F79860-1A85-11E3-9860-D2A88FA7BD89","20140520-351F-6037-CE04-3ACA80065037","20130724-A1DB-84F1-C8E7-5A73F1CF83B9","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20140618-92D3-A024-AE04-3ACA80065024","20130726-A0D1-040A-49E6-3F373C6282CC","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20140618-92D3-D024-AE04-3ACA80065024","20130726-030D-0458-8BF6-CBD8C728B9F5","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20140618-9C56-E006-2E04-3ACA80065006","20130726-030D-0458-8BF6-CBD8C728B9F5","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20140618-6601-800F-8E04-3ACA8006500F","20130726-A0D1-040A-49E6-3F373C6282CC","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20140618-FAC0-6018-8E04-3ACA80065018","20130726-A0D1-040A-49E6-3F373C6282CC","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20140520-579A-3033-0E04-3ACA80065033","20130724-A1DB-84F1-C8E7-5A73F1CF83B9","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20140613-9E11-0014-EE04-3ACA80065014","0F9FE600-F14D-11E3-A497-8B85B3C529ED","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20140910-9352-C014-AE05-3ACA80065014","20130726-D697-44BF-099D-E8EC0811BC7C","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20141121-007A-D02A-AE05-3ACA8006502A","20130726-D697-44BF-099D-E8EC0811BC7C","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20141209-8584-F01A-CE05-3ACA8006501A","E7DDD410-F14C-11E3-A497-87799FC000BE","BEAC2760-1A86-11E3-A760-8A1F28EE552E","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20140911-5999-902F-6E05-3ACA8006502F","20130726-D697-44BF-099D-E8EC0811BC7C","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20141126-CEA4-F023-0E05-3ACA80065023","20130726-030D-0458-8BF6-CBD8C728B9F5","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20141112-5255-B012-AE05-3ACA80065012","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20140922-72D1-502A-6E05-3ACA8006502A","20130726-D697-44BF-099D-E8EC0811BC7C","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20141208-47DB-D017-0E05-3ACA80065017","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150421-4F05-9010-6E05-3ACA80065010","20130726-6A16-24FD-CB90-08F328E6B3B2","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150301-B83A-F00C-4E05-3ACA8006500C","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150316-420F-9016-4E05-3ACA80065016","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150504-E507-7022-CE05-3ACA80065022","E7DDD410-F14C-11E3-A497-87799FC000BE","BEAC2760-1A86-11E3-A760-8A1F28EE552E","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150331-13FD-303F-EE05-3ACA8006503F","20130726-A0D1-040A-49E6-3F373C6282CC","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150331-1DF0-001C-4E05-3ACA8006501C","20130726-A0D1-040A-49E6-3F373C6282CC","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150331-FD96-8008-0E05-3ACA80065008","20130726-A0D1-040A-49E6-3F373C6282CC","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150331-FDA1-2008-0E05-3ACA80065008","20130726-A0D1-040A-49E6-3F373C6282CC","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150204-C1CD-302D-2E05-3ACA8006502D","20130726-6A16-24FD-CB90-08F328E6B3B2","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
