PK_PSN,PK_CORP,PK_PSNCL,PK_DEPT,PK_USER,SEALFLAG
0CD47D00-16C8-11E4-A451-9F47CB804436,26F79860-1A85-11E3-9860-D2A88FA7BD89,671276D0-1A86-11E3-B6D0-85AC56AFF7AE,61C1F6A0-B64F-11E3-A329-8D420F224C76,E364A4B0-2133-11E4-A4B0-EBD2657A3459,N
1F838500-1D11-11E4-A30C-9BB6E22E961A,26F79860-1A85-11E3-9860-D2A88FA7BD89,51B05FA0-1A86-11E3-9FA0-8B0522DE060B,0C132E70-B976-11E3-A329-EDB2731210D3,B6EF1FF0-1D19-11E4-A30C-A31BEE575CF0,N
20130724-D042-641A-8AA2-0A29FABCA77B,26F79860-1A85-11E3-9860-D2A88FA7BD89,671276D0-1A86-11E3-B6D0-85AC56AFF7AE,80CEB970-B64F-11E3-A329-ECB2F62F2DD2,20130725-D619-A4E4-0963-8704281F7AF1,N
20130724-A1DB-84F1-C8E7-5A73F1CF83B9,26F79860-1A85-11E3-9860-D2A88FA7BD89,5EC167C0-1A86-11E3-A7C0-838E7E0EBF88,73BB6760-B64F-11E3-A329-CE9551ADAB04,20130725-6A88-3496-694A-0339F3F6E7A7,N
20130724-63B9-74FD-D8AB-60EEBC56BA4C,26F79860-1A85-11E3-9860-D2A88FA7BD89,5EC167C0-1A86-11E3-A7C0-838E7E0EBF88,0C132E70-B976-11E3-A329-EDB2731210D3,20130725-DB83-0485-392A-13D618D46DB7,N
20130724-33CE-2465-7A4F-7C3F834718F9,26F79860-1A85-11E3-9860-D2A88FA7BD89,671276D0-1A86-11E3-B6D0-85AC56AFF7AE,48171230-B64F-11E3-A329-DDEA97B7941A,20130725-7587-64E7-1803-CE5010FE83E8,N
20130724-89EF-84D7-DAB3-9C3E10948318,26F79860-1A85-11E3-9860-D2A88FA7BD89,5EC167C0-1A86-11E3-A7C0-838E7E0EBF88,571F2F60-B64F-11E3-A329-ABC4259D082C,20130725-FB68-241E-382D-1F0A860B50DC,N
20130724-1559-64D6-5968-72314BA07AE3,26F79860-1A85-11E3-9860-D2A88FA7BD89,671276D0-1A86-11E3-B6D0-85AC56AFF7AE,9AB0BD00-BC48-11E6-A6CE-F47608038348,20130725-D918-B494-69FF-BC3F3157C7C3,N
20130724-377A-4407-4A05-61FD6A8D2287,26F79860-1A85-11E3-9860-D2A88FA7BD89,671276D0-1A86-11E3-B6D0-85AC56AFF7AE,9AB0BD00-BC48-11E6-A6CE-F47608038348,20130725-4BC3-8438-ABC6-3DEE0389B725,N
20130724-DB15-D433-28EA-BA157E6EDEAB,26F79860-1A85-11E3-9860-D2A88FA7BD89,51B05FA0-1A86-11E3-9FA0-8B0522DE060B,0C132E70-B976-11E3-A329-EDB2731210D3,20130725-3990-14D9-1A76-3FC2D2B7BCF9,N
20130724-33D5-A4AF-2A7B-FEC5492D413E,26F79860-1A85-11E3-9860-D2A88FA7BD89,5EC167C0-1A86-11E3-A7C0-838E7E0EBF88,61C1F6A0-B64F-11E3-A329-8D420F224C76,20130725-7A94-245A-FA30-FA98348AB7E5,N
051FFF70-237F-11E5-BF70-9B9D5CEACCC5,26F79860-1A85-11E3-9860-D2A88FA7BD89,671276D0-1A86-11E3-B6D0-85AC56AFF7AE,73BB6760-B64F-11E3-A329-CE9551ADAB04,05168990-237F-11E5-8990-9D48C253AA87,N
218F5B10-237F-11E5-9B10-C04B06B6D6AB,26F79860-1A85-11E3-9860-D2A88FA7BD89,671276D0-1A86-11E3-B6D0-85AC56AFF7AE,73BB6760-B64F-11E3-A329-CE9551ADAB04,218CEA10-237F-11E5-AA10-F3DFF09504A9,N
0AA182F0-ED49-11E4-82F0-A2849EEA2091,26F79860-1A85-11E3-9860-D2A88FA7BD89,7F3DC650-ECB8-11E4-8650-96C314923B42,0C132E70-B976-11E3-A329-EDB2731210D3,2154A080-1316-11E4-A451-EF2AFCD5DD2A,N
9B15B310-A2AD-11E4-B487-99F0271F65F8,26F79860-1A85-11E3-9860-D2A88FA7BD89,671276D0-1A86-11E3-B6D0-85AC56AFF7AE,48171230-B64F-11E3-A329-DDEA97B7941A,9B1F5000-A2AD-11E4-B487-895613776990,N
20130726-030D-0458-8BF6-CBD8C728B9F5,26F79860-1A85-11E3-9860-D2A88FA7BD89,671276D0-1A86-11E3-B6D0-85AC56AFF7AE,8AE98C00-B64F-11E3-A329-893EFC2970E7,C494EF40-2369-11E3-AF40-C4B14063AF8E,N
20130726-D977-B455-7B1D-5E7AA5A6CE88,26F79860-1A85-11E3-9860-D2A88FA7BD89,671276D0-1A86-11E3-B6D0-85AC56AFF7AE,61C1F6A0-B64F-11E3-A329-8D420F224C76,20130726-4A39-749B-187F-90CC6EF42347,N
20130726-D76C-E40F-9AAF-2BC20C1A769F,26F79860-1A85-11E3-9860-D2A88FA7BD89,671276D0-1A86-11E3-B6D0-85AC56AFF7AE,8AE98C00-B64F-11E3-A329-893EFC2970E7,34078FE0-2419-11E3-8FE0-C8C076ED6F20,N
20130724-2B99-2429-0BE7-F5A09C55E04B,26F79860-1A85-11E3-9860-D2A88FA7BD89,671276D0-1A86-11E3-B6D0-85AC56AFF7AE,571F2F60-B64F-11E3-A329-ABC4259D082C,20130725-C970-243A-0A21-A63568CD871F,N
20130726-76DA-240A-B919-37313F004A05,26F79860-1A85-11E3-9860-D2A88FA7BD89,485B7520-1A86-11E3-B520-DCF39D2D56AA,5340BB40-1A94-11E3-BB40-CD0103D3B47F,1D2F2C60-2419-11E3-AC60-A7CD171327A1,N
20130726-F5A7-34DB-0A81-B083FC42477C,26F79860-1A85-11E3-9860-D2A88FA7BD89,51B05FA0-1A86-11E3-9FA0-8B0522DE060B,5340BB40-1A94-11E3-BB40-CD0103D3B47F,CBA42F80-2369-11E3-AF80-D62D13F723C3,N
20130726-D697-44BF-099D-E8EC0811BC7C,26F79860-1A85-11E3-9860-D2A88FA7BD89,5EC167C0-1A86-11E3-A7C0-838E7E0EBF88,8AE98C00-B64F-11E3-A329-893EFC2970E7,2FC133A0-2419-11E3-B3A0-FC0E0270C26B,N
20130726-6A16-24FD-CB90-08F328E6B3B2,26F79860-1A85-11E3-9860-D2A88FA7BD89,671276D0-1A86-11E3-B6D0-85AC56AFF7AE,8AE98C00-B64F-11E3-A329-893EFC2970E7,11947090-2419-11E3-B090-FD59AD424025,N
20130726-A0D1-040A-49E6-3F373C6282CC,26F79860-1A85-11E3-9860-D2A88FA7BD89,671276D0-1A86-11E3-B6D0-85AC56AFF7AE,8AE98C00-B64F-11E3-A329-893EFC2970E7,28040020-2419-11E3-8020-B7CDEFE83848,N
0FD6CFF0-DB11-11E3-8FF0-D676B3A6D567,26F79860-1A85-11E3-9860-D2A88FA7BD89,51B05FA0-1A86-11E3-9FA0-8B0522DE060B,0C132E70-B976-11E3-A329-EDB2731210D3,0FD919E0-DB11-11E3-99E0-A43320D2CFC8,N
E7DDD410-F14C-11E3-A497-87799FC000BE,26F79860-1A85-11E3-9860-D2A88FA7BD89,671276D0-1A86-11E3-B6D0-85AC56AFF7AE,9AB0BD00-BC48-11E6-A6CE-F47608038348,E7E04510-F14C-11E3-A497-BB0E899E2EBC,N
0F9FE600-F14D-11E3-A497-8B85B3C529ED,26F79860-1A85-11E3-9860-D2A88FA7BD89,5EC167C0-1A86-11E3-A7C0-838E7E0EBF88,9AB0BD00-BC48-11E6-A6CE-F47608038348,0FA22FF0-F14D-11E3-A497-F757A95D69CD,N
